Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
wrist_link,-0.0020108,0.0053871,0.035776,0,0,0,0.045574,4.2078E-05,1.0967E-06,-4.3696E-08,2.601E-05,3.5448E-06,1.6455E-05,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/wrist_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/wrist_link.STL,,手背底板V0.2-1;食指外骨骼-1/F68811-1;F68811-2;F68811-3;F68811-4,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_cmc_flex_link,0.019427,0.012082,0.0018389,0,0,0,0.019987,1.7875E-06,2.5694E-07,-1.2598E-06,5.1666E-06,1.4999E-07,3.8747E-06,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/thumb_cmc_flex_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/thumb_cmc_flex_link.STL,,大拇指指根旋转关节-1;大拇指外骨骼-1/大拇指根部转接2.0-1;大拇指外骨骼-1/F68811-1,坐标系7,基准轴6,thumb_cmc_flex_joint,continuous,-0.00800000000000013,0.0321923881554251,-0.00500000000000006,0,0,0,wrist_link,-1,0,0,,,,,,,,,,,,
thumb_cmc_abd_link,-0.00229626864254114,0.0025019741546171,-0.000436777539487287,0,0,0,0.00119117342000522,1.42401930141673E-08,4.20777982960054E-09,-3.32014267151954E-10,2.12316928109292E-08,-1.13037574404821E-09,2.15007903896514E-08,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/thumb_cmc_abd_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/thumb_cmc_abd_link.STL,,大拇指外骨骼-1/指根旋转关节-1,坐标系2,基准轴1,thumb_cmc_abd_joint,continuous,0.0420106042997699,0.0157498161804066,0.0242675357151679,0,0,0,thumb_cmc_flex_link,0,0.93969262078591,-0.342020143325665,,,,,,,,,,,,
thumb_mcp_link,0.00248668828538748,0.0161489445897399,0.0131327311111442,0,0,0,0.00374067384037843,4.93107216011441E-07,1.41032959420786E-08,-2.08858195114374E-08,6.48055630880886E-07,-4.4873283054032E-08,2.72402768253552E-07,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/thumb_mcp_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/thumb_mcp_link.STL,,大拇指外骨骼-1/外骨骼第一指关节3.0-1,坐标系12,基准轴11,thumb_mcp_joint,continuous,0.00325932819822321,-0.00875597049638259,0.0241859413784691,0,0,0,thumb_cmc_abd_link,-0.986631617798999,0.0557377948750778,0.153138332829486,,,,,,,,,,,,
thumb_ip_link,0.00234022761204072,0.0128632412496094,0.0104060094679635,0,0,0,0.00250986189310521,1.71287853333995E-07,3.86463495825574E-09,1.13425746546399E-08,3.01576893365904E-07,-2.32760165724564E-08,2.5083815876647E-07,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/thumb_ip_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/thumb_ip_link.STL,,大拇指外骨骼-1/外骨骼第三指关节3.0-1,坐标系17,基准轴16,thumb_ip_joint,continuous,0.00570382434689043,0.0118106760565236,0.0324495657737923,0,0,0,thumb_mcp_link,-0.986631617798999,0.0557377948750777,0.153138332829486,,,,,,,,,,,,
index_mcp_abd_link,-0.00250047285030029,-0.00233813866466019,6.51214884913598E-05,0,0,0,0.00119117326877849,2.19897616453943E-08,-4.16840957665446E-09,2.76794130402293E-10,1.40504209973986E-08,2.17568565356851E-11,2.09324888735647E-08,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/index_mcp_abd_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/index_mcp_abd_link.STL,,食指外骨骼-1/指根旋转关节-1,坐标系3,基准轴2,index_mcp_abd_joint,continuous,-0.00800000000000009,0.0241923881554252,0.065,0,0,0,wrist_link,-1,0,0,,,,,,,,,,,,
index_mcp_flex_link,-0.0114070328047424,-0.000607370388683481,0.0290133395013445,0,0,0,0.00284655724061209,3.28204843425552E-07,-4.80669980678278E-09,-5.78407128131855E-08,2.84955983774339E-07,1.57555232223385E-08,1.51630121702924E-07,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/index_mcp_flex_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/index_mcp_flex_link.STL,,食指外骨骼-1/外骨骼第一指关节3.0-1,坐标系8,基准轴7,index_mcp_flex_joint,continuous,0.014,0,0,0,0,0,index_mcp_abd_link,0,-1,0,,,,,,,,,,,,
index_pip_link,-0.00820059005677119,-0.00062637497856944,0.0141171645574372,0,0,0,0.00272817140621968,3.09947910621127E-07,-1.02957359554329E-08,1.30297508003673E-08,2.10123925298428E-07,1.11165431221713E-08,2.1891706675412E-07,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/index_pip_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/index_pip_link.STL,,食指外骨骼-1/外骨骼第二指关节3.0-1,坐标系13,基准轴12,index_pip_joint,continuous,0,0,0.0439999999999998,0,0,0,index_mcp_flex_link,0,-1,0,,,,,,,,,,,,
index_dip_link,-0.00772883281781931,-7.81614501817532E-07,0.00944658781453485,0,0,0,0.00138621744308339,9.65928060476362E-08,-1.77160475460755E-12,2.14747997492926E-09,5.15724750020167E-08,8.91862797053314E-13,1.01767267555001E-07,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/index_dip_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/index_dip_link.STL,,食指外骨骼-1/外骨骼第三指关节3.0-1,坐标系18,基准轴17,index_dip_joint,continuous,0,0,0.025,0,0,0,index_pip_link,0,-1,0,,,,,,,,,,,,
middle_mcp_abd_link,-0.00250047285018376,-0.0023381386646602,6.51214885598259E-05,0,0,0,0.00119117326877849,2.19897616453813E-08,-4.16840957665499E-09,2.7679413042726E-10,1.40504209973987E-08,2.17568564372661E-11,2.09324888735778E-08,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/middle_mcp_abd_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_glove_urdf_R/meshes/middle_mcp_abd_link.STL,,指根旋转关节-2,坐标系4,基准轴3,middle_mcp_abd_joint,continuous,-0.00799999999999999,0.000192388155425213,0.07,0,0,0,wrist_link,-1,0,0,,,,,,,,,,,,
